,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18579,2020-11-13 01:00:00,WBTC,WETH,1381.10083639,48035.730711494950145735,22403089.82647414959581760116377227,28921.16058626,996936.857166981967730927,939070116.7685080230054670886880894
1,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18578,2020-11-12 01:00:00,WBTC,WETH,1349.33973843,47008.586215009016905213,21554730.55972084777488848239160438,28749.35206552,1012163.967237581304235665,935406756.1588012909150567203442788
2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18577,2020-11-11 01:00:00,WBTC,WETH,1513.69358088,50851.707490396828895913,23554517.26423523497772147943550075,28847.10276381,975936.187422887770685622,905230456.4044719530420401030156669
3,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18576,2020-11-10 01:00:00,WBTC,WETH,1084.8235583,37047.91990070293155854,16597069.56868966752519577380017571,28610.44237241,971321.402562184643464617,874734586.9872814785350121705825683
4,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18575,2020-11-09 01:00:00,WBTC,WETH,1047.2853227,35822.873789967777153804,16058554.54100415940035617988133011,28333.88707066,974358.949311709003027391,863932346.3271203160107195173834861
5,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18574,2020-11-08 01:00:00,WBTC,WETH,1967.85552453,67142.537938791075225337,29885905.88919217812011267230113957,28197.77534394,959545.187868299651352616,872593503.5866296142578111059454422
6,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18573,2020-11-07 01:00:00,WBTC,WETH,3399.82833595,115253.334025658800744714,51676283.71886912593615892941782935,28526.82403591,970126.649707454538017842,845962202.1141636700147285851236651
7,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18572,2020-11-06 01:00:00,WBTC,WETH,3927.03758759,139189.744831120305958402,61050148.16290068399408381912022925,28398.4018166,969080.082109244734528429,881929031.4685540891480572164348637
8,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18571,2020-11-05 01:00:00,WBTC,WETH,3175.12572409,115679.754502314655749574,47210157.34717899871996363674446871,27435.91590241,1022816.280715243255002909,848352851.9277149242750735496907913
9,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18570,2020-11-04 01:00:00,WBTC,WETH,1513.31677775,53814.383104739875224751,21130396.43922863876727195553159958,27976.02946651,982175.849331177461607451,787076359.5528105854182055653935584
10,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18569,2020-11-03 01:00:00,WBTC,WETH,1017.50816522,36406.55052438057381995,13843233.73252654548356400178409601,28505.43658101,1027029.885875299964231378,795338591.4525312311684151690728886
11,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18568,2020-11-02 01:00:00,WBTC,WETH,1479.03973911,51352.927564866614857626,20050210.33608311461377335870027753,29504.74957784,1043090.095194151861342843,798026335.632456080197037713218238
12,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18567,2020-11-01 01:00:00,WBTC,WETH,1176.83766976,41667.798988715670555012,16198780.29924415106430779336338573,30035.43788887,1044621.803199220130012783,824035756.1133849108918287501002858
13,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18566,2020-10-31 01:00:00,WBTC,WETH,1067.84884902,37911.954573553106466995,14640217.44940897968122981519938641,29742.18229763,1060367.592346235622474696,818377959.0714863958099929984072592
14,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18565,2020-10-30 01:00:00,WBTC,WETH,2143.89255524,75221.895183265271407041,28706949.03256182201464492819381827,27669.805097,981901.856767511495013062,752845423.8508543774245613447086264
15,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-18564,2020-10-29 01:00:00,WBTC,WETH,1323.41960543,45347.976404244414832324,17604362.12684665152423471179716735,28374.75431862,989813.887232014995147267,762498585.5044284025622721837528618
