,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18579,2020-11-13 01:00:00,USDC,EURS,12524.276646,10580.16,12494.79319910762002375068315626816,11405434.58847,9653388.72,22866718.21842335965945009498810523
1,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18578,2020-11-12 01:00:00,USDC,EURS,19862.769238,16869.4,19822.5432281866042575004536610419,11392910.311824,9663968.88,22793805.36775610333320025405918229
2,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18577,2020-11-11 01:00:00,USDC,EURS,16840.464496,14221.47,16796.86378076414581982490701017813,11409562.707176,9649813.64,22703548.65574568791430928510961582
3,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18576,2020-11-10 01:00:00,USDC,EURS,12059.487136,10216.12,12032.31914758493584637295544739812,11394237.75599,9662749.57,22777955.26365167581862865353257253
4,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18575,2020-11-09 01:00:00,USDC,EURS,25006.328015,21221.67,24945.62109336988678490805746097428,11390091.341718,9666236.45,22693915.98644184929350777668421411
5,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18574,2020-11-08 01:00:00,USDC,EURS,21913.938133,18563.73,21854.09264739649991681346636859052,11395349.913291,9661712.08,22827990.15614702586526815653821594
6,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18573,2020-11-07 01:00:00,USDC,EURS,31532.088547,26782.45,31453.2903500390295547786161598618,11381949.29066,9673031.49,22759757.98273976460540319077200982
7,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18572,2020-11-06 01:00:00,USDC,EURS,38047.575194,32303.13,37926.06422962999052860676032905757,11389544.536543,9666500.48,22859286.53655254462500073730806411
8,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18571,2020-11-05 01:00:00,USDC,EURS,37673.954732,32137.43,37535.66750112096142561853950960555,11354281.079143,9696424.79,22771466.4319619886079028779630365
9,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18570,2020-11-04 01:00:00,USDC,EURS,39105.204242,33379.83,38954.18394369398094221230276430376,11363920.130347,9688103.64,22602081.38661938900307110500974335
10,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18569,2020-11-03 01:00:00,USDC,EURS,22461.89902,19141.18,22400.81178234923961724472134270184,11368500.298107,9684100.25,22714967.66566255741904084200438291
11,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18568,2020-11-02 01:00:00,USDC,EURS,59867.718847,50888.65,59691.4019912239881788699158669864,11368531.162617,9684016.45,22740485.25165325425324110577000722
12,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18567,2020-11-01 01:00:00,USDC,EURS,29121.392682,24832.79,29042.9676137062863003497160536118,11357446.911776,9693314.4,22570815.49515524515305338392764718
13,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18566,2020-10-31 01:00:00,USDC,EURS,40799.960181,34876.43,40673.85061256805058378563354961601,11343553.585808,9705111.85,22577066.02063744006269927417923466
14,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18565,2020-10-30 01:00:00,USDC,EURS,37322.410981,31882.75,37241.53535159209408104919360362102,11350964.112657,9698671.06,22723700.02507306923821871609303097
15,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18564,2020-10-29 01:00:00,USDC,EURS,14787.653535,12564.32,14752.62020269719433535687207523843,11381824.36372,9672278.93,22655102.21826894111746594348379698
16,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18563,2020-10-28 01:00:00,USDC,EURS,39573.158916,33623.03,39500.0286933894784697530070694342,11383034.144781,9671213.19,22825798.110772301283092434844542
17,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18562,2020-10-27 01:00:00,USDC,EURS,10680.729162,9048.92,10632.38360642458526092771454908918,11388426.451573,9666533.02,22649400.37782822275110786499878387
18,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18561,2020-10-26 01:00:00,USDC,EURS,51512.316902,43733.26,51391.39182334365500052884860934234,11379521.355433,9674070.36,22737209.04189545253052187400318853
19,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18560,2020-10-25 02:00:00,USDC,EURS,8154.440834,6917.42,8140.361683831670863438177008709854,11402931.450683,9654071.6,22725395.88340261863665481078584367
20,0x767055e2a9f15783b1ec5ef134a89acf3165332f-18559,2020-10-24 02:00:00,USDC,EURS,4505.982868,3800.09,4494.876311692153368108652860688543,11410210.710707,9647891.94,22821081.5353609176560851797091043
