,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0xd3d2e2692501a5c9ca623199d38826e513033a17-18579,2020-11-13 01:00:00,UNI,WETH,5756113.414254917082463806,42384.941557910952755967,19792100.0804291150240138553189575,7898922.327717914915707768,63781.123237589666271432,60079576.88870803099018600668149093
1,0xd3d2e2692501a5c9ca623199d38826e513033a17-18578,2020-11-12 01:00:00,UNI,WETH,2690975.147216092761733052,17407.628678358476543208,7979296.643952554211846778835758055,8559715.808211951934219136,55000.11638903205426599,50829157.3514005642992925529251731
2,0xd3d2e2692501a5c9ca623199d38826e513033a17-18577,2020-11-11 01:00:00,UNI,WETH,3352836.192858610466219192,22265.666072817664787543,10296011.61222159355867096369903751,8679509.886189082125256975,54557.117116851749250971,50604597.6108107298749764602740759
3,0xd3d2e2692501a5c9ca623199d38826e513033a17-18576,2020-11-10 01:00:00,UNI,WETH,4734587.161458271335101029,30848.959838220786257275,13811742.85854640775977159265003646,8274269.023843843086543457,56332.028038144964212927,50730495.18436521915645564773939056
4,0xd3d2e2692501a5c9ca623199d38826e513033a17-18575,2020-11-09 01:00:00,UNI,WETH,2590217.422423715516960571,15581.149277789359501198,6962475.405812177200185335241351951,8409642.755494362799030879,50514.788819348636543962,44788141.90010573724977076585941173
5,0xd3d2e2692501a5c9ca623199d38826e513033a17-18574,2020-11-08 01:00:00,UNI,WETH,2823873.940105885278744668,17083.740449148077113124,7617596.939257114365045629765444009,8510175.681884111039645474,53650.495185016607473754,48781931.00027710674660324927122083
6,0xd3d2e2692501a5c9ca623199d38826e513033a17-18573,2020-11-07 01:00:00,UNI,WETH,7886084.210488810630752363,47762.357451273657053168,21719106.81838237120529504165668421,8721174.558487375120113002,49543.767119327468829577,43172115.83531851637119887076013059
7,0xd3d2e2692501a5c9ca623199d38826e513033a17-18572,2020-11-06 01:00:00,UNI,WETH,6120696.61382086503078703,34567.907240741756576855,15092707.26261596022990909643868179,8743483.447886614855716788,49197.083016472409277279,44772400.0796570831786905804978522
8,0xd3d2e2692501a5c9ca623199d38826e513033a17-18571,2020-11-05 01:00:00,UNI,WETH,8141215.452556220490665819,41632.721641830909082144,16999585.85411865558496268272821013,8777474.05318838185850592,46289.585406693728492319,38393895.88798800035076371352592483
9,0xd3d2e2692501a5c9ca623199d38826e513033a17-18570,2020-11-04 01:00:00,UNI,WETH,2943233.685837901915778531,15067.852644074883277845,5845510.831827567679284909108056309,9274088.469678576842226419,44634.335235289044932554,35781815.1081297246111978116209135
10,0xd3d2e2692501a5c9ca623199d38826e513033a17-18569,2020-11-03 01:00:00,UNI,WETH,2667494.514609144100593651,15017.990856956789897879,5681775.430930708607083174076400686,8752175.904384649822281879,48084.258808145389920045,37236506.17626320195419189370777055
11,0xd3d2e2692501a5c9ca623199d38826e513033a17-18568,2020-11-02 01:00:00,UNI,WETH,1327866.687130718679603794,7894.370872373056549133,3090308.419653255675461187682342578,8430904.136172726147752672,49731.16139244661971353,38047343.68438896552500517461245824
12,0xd3d2e2692501a5c9ca623199d38826e513033a17-18567,2020-11-01 01:00:00,UNI,WETH,2336885.182198642147029667,14015.992005493228558073,5462527.272370055652674114570117832,8387986.170014351477476396,50250.826025634655400001,39638936.31001847849645400603493754
13,0xd3d2e2692501a5c9ca623199d38826e513033a17-18566,2020-10-31 01:00:00,UNI,WETH,2090580.799618750845324223,12700.082056032174539167,4901696.44875149788346253550878321,8528018.026282401215532421,50006.954102598342252223,38594718.78739109782204662015645973
14,0xd3d2e2692501a5c9ca623199d38826e513033a17-18565,2020-10-30 01:00:00,UNI,WETH,4799455.389113708466148863,29697.103630202646334219,11359428.69043701324766754350905612,8348344.590218258790251346,52540.670538550723418873,40285696.64278101913382312776979965
15,0xd3d2e2692501a5c9ca623199d38826e513033a17-18564,2020-10-29 01:00:00,UNI,WETH,1878713.015732966242219369,12571.966233234393572321,4870879.739346629916933508874337518,8198118.191844221713718396,53774.136989264907449865,41422293.48976299849638174360513748
16,0xd3d2e2692501a5c9ca623199d38826e513033a17-18563,2020-10-28 01:00:00,UNI,WETH,2023591.717349680355341524,13894.739391442894405403,5450830.19948963390948039640198457,8181207.271910293225284393,56118.509158404719119575,43490266.73730536721939737960346881
17,0xd3d2e2692501a5c9ca623199d38826e513033a17-18562,2020-10-27 01:00:00,UNI,WETH,2410658.315311756318690201,16936.09667738209721902,6768807.73356125844219411693469601,8247704.018163028185098681,57542.243484918410350701,46421244.9658762289607627709701379
18,0xd3d2e2692501a5c9ca623199d38826e513033a17-18561,2020-10-26 01:00:00,UNI,WETH,2114156.766522166889730366,14402.250901200816764656,5713940.481663550517764426377809926,8367927.769734110586162943,57836.13257686128064337,45465508.51966499520010515079625612
19,0xd3d2e2692501a5c9ca623199d38826e513033a17-18560,2020-10-25 02:00:00,UNI,WETH,2103826.371855038014762302,14748.784869340776781059,6020749.174460880806790413806176245,8352441.315048517728679699,57004.281287794092393818,46221237.20798897689668399069700099
