,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18579,2020-11-13 01:00:00,DAI,WETH,17145336.330890997936573174,36996.447139005749303813,17236511.19653349106204948276203282,197510170.253190990735127628,422002.784557289981455508,397510261.4505461629187761187963966
1,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18578,2020-11-12 01:00:00,DAI,WETH,20065866.956838218977596991,43888.301780169161026696,20169981.8259269021450320486216114,195231428.057753522131902675,424902.978068423406202784,392680562.8953047540970923997981052
2,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18577,2020-11-11 01:00:00,DAI,WETH,19962391.855864826188425514,43345.632509730385094807,20086638.33890861913072692106974614,192079756.36537877302289077,416661.670494489082075192,386471540.5554133483283233726306016
3,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18576,2020-11-10 01:00:00,DAI,WETH,17403255.351093627206120685,39154.335648848913014921,17502854.21145913199708670360796473,188818804.630472263801769464,421584.383491206061530067,379662633.3988956213068879286590648
4,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18575,2020-11-09 01:00:00,DAI,WETH,25712870.271950824562290806,57588.011454449358766999,25822897.6706446477164469468594066,187449923.344204529140281317,425475.288773485633049169,377250249.6207673970055320880504135
5,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18574,2020-11-08 01:00:00,DAI,WETH,21818750.375453016751445788,49214.274293285722178628,21934039.40264798736964351658702301,187599143.734031561211688832,415237.70892490188777254,377555884.3256235737442065415058509
6,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18573,2020-11-07 01:00:00,DAI,WETH,36848809.977239581773639016,82988.029813171327558588,37099846.00575569497964960811252156,178906629.137787069570678846,413296.218502537463667994,360144962.506752608953019439453999
7,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18572,2020-11-06 01:00:00,DAI,WETH,36231159.28669631463173577,83607.583759370185517158,36479125.43644075498436150787092782,186311326.775222467239922439,411855.331289451772232067,374813922.6314892810369619730409774
8,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18571,2020-11-05 01:00:00,DAI,WETH,29282323.109989281577422068,72519.599849869303079861,29462187.08380977181392614205463414,196658696.472309492244340642,476844.737363344531325407,395509902.0694425927416751081021521
9,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18570,2020-11-04 01:00:00,DAI,WETH,21938116.963251159891801095,56366.127989462254420778,22082515.92306611154054867818709985,194937768.172512394802249415,489425.739525685097919439,392228157.8356677795706832066753377
10,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18569,2020-11-03 01:00:00,DAI,WETH,19333346.302240208373979763,51420.984553417200421344,19476044.4240472312210940184767468,184593893.948438136313265849,479459.944923026644753976,371291089.8503163784711016196879611
11,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18568,2020-11-02 01:00:00,DAI,WETH,15194349.442936050731634665,39290.147973126454074053,15307760.0872958970319334440118202,182649099.858589723544560991,481026.88705438966092445,368014636.7136696551751743504181335
12,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18567,2020-11-01 01:00:00,DAI,WETH,11567556.559593518403932519,30061.805793167215836701,11661227.7723133831840033247252139,184709175.115987943862471149,472124.355576021991313286,372428901.1919431868830537439348922
13,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18566,2020-10-31 01:00:00,DAI,WETH,13885626.317454188525135593,36208.475740597850945333,13989040.17705406206390697233131706,184849149.668108652749752898,482078.277676438545533165,372061764.0950309629618152206149207
14,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18565,2020-10-30 01:00:00,DAI,WETH,20275577.914114358289548362,53662.609777837103970442,20418104.26288126663627350675936,183855589.360661043147300513,483495.563395766126827325,370442656.061030530995646514798506
15,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18564,2020-10-29 01:00:00,DAI,WETH,18757311.251448543286815177,38788.098682582437986361,16960489.84344562817720201035882666,185000835.402617424657378482,483210.776708180557083251,372217766.6579633544565132968607917
16,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18563,2020-10-28 01:00:00,DAI,WETH,28513946.496611256437618096,73446.83874125153007121,28702148.2400954665632243633012143,191823529.540186351482636202,498297.733438948187289305,386031051.0246369993879005491901793
17,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18562,2020-10-27 01:00:00,DAI,WETH,18034467.758383448005948047,45583.717796020074066836,18171128.09158652087950438224519745,195483102.654593323650702591,487734.595131153858403561,393479059.3216170323257614487361393
18,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18561,2020-10-26 01:00:00,DAI,WETH,31634336.289699918941585824,79362.247406879993774812,31850482.98478511058438666548519971,200798377.188571404176101474,513823.558214308002622241,403924527.9082813057693679508410882
19,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18560,2020-10-25 02:00:00,DAI,WETH,8955548.425470972128506596,21997.642218572220011518,8990796.324234767676974554677787716,215481970.716699356795821305,533278.455887771331184286,432395842.1499271043831123035698367
20,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18559,2020-10-24 02:00:00,DAI,WETH,10137071.671925313329972161,24734.214304227147971842,10184752.91036833070829382805034629,216509001.021796825678851753,530110.59754802690616135,435317156.2189432956087607791883648
21,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18558,2020-10-23 02:00:00,DAI,WETH,17498931.314381070455012403,42916.706413859251815367,17599842.24190037977314196029027308,214912884.531584261846763214,530217.203412097761110895,432572804.7594039159237288025989709
22,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18557,2020-10-22 02:00:00,DAI,WETH,21556002.163137622004260819,53404.75606660223646059,21689808.22375392400731272868967695,214865167.194015200714733551,521987.887304883384987568,431764296.8691012640837948223336187
23,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18556,2020-10-21 02:00:00,DAI,WETH,26070569.521831303714220926,67994.550220990579113453,26228380.1266246349929420276921083,210618243.442591450166922121,541128.485306743571233669,423735194.9935538342436108196570895
24,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18555,2020-10-20 02:00:00,DAI,WETH,12047079.487639457372557655,32618.722345901609502007,12110601.19840741648586034897734816,204591929.286468606327780262,558972.1833189040835348,411207002.0385470304033146757759173
25,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18554,2020-10-19 02:00:00,DAI,WETH,10937418.81915901837211422,29202.915103715872731343,11007837.82472013454092727610957378,207081991.337665334968794523,551559.954506265264090467,417221981.7685224646651064107007227
26,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18553,2020-10-18 02:00:00,DAI,WETH,7106482.836281234565614537,19205.379631954710993762,7149419.250213874634235958679642789,205934467.2589463824106606,550128.372936017623353639,414091104.7538264202927077807756799
27,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18552,2020-10-17 02:00:00,DAI,WETH,7305162.686947999379383088,20055.103641051484362113,7348998.24067070685207433821872338,201102750.390603892696944984,551602.258248746304478263,404447073.1715629068524718907330651
28,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18551,2020-10-16 02:00:00,DAI,WETH,13583616.882217282153645188,37069.9158668992214926,13671387.47717425258013905635989471,199874131.609021753204842232,551946.355645588121467633,402998144.6976336532897747102089053
29,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18550,2020-10-15 02:00:00,DAI,WETH,19118743.533654947562004389,51146.813537301499807292,19246785.2071632307154020297801731,204906426.845594659730365307,547035.50730072311267392,412745652.7818810149995886204740075
30,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18549,2020-10-14 02:00:00,DAI,WETH,13982653.528189010780759405,37049.892392627241566966,14078579.30964040023614666304511838,204142147.142254260475836331,544791.303768276665958164,410988360.2049363228206128334349466
31,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18548,2020-10-13 02:00:00,DAI,WETH,13056220.512798926661583474,34528.835632084694134928,13145476.89648706505576456784221122,205176825.426816055690721519,543446.045300659158346844,413784264.8413798630419481366321468
32,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18547,2020-10-12 02:00:00,DAI,WETH,21709504.757008682450868422,57729.378365529424570238,21870171.19016612972924947027829029,201599360.164485615215653518,524981.661678020552931233,405953768.2031428133877130474543618
33,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18546,2020-10-11 02:00:00,DAI,WETH,9857986.42378421249736127,26704.207884834745513332,9932741.992127535619294949420761342,201396761.508363359515367786,543644.885558542377513219,405233638.1773344101533632274694297
34,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18545,2020-10-10 02:00:00,DAI,WETH,24308663.365770498167149718,65748.425350835816665306,24484030.82481364228553194885712576,196988714.648130037847953511,535050.458113937440755258,396467678.6019583296598929106313696
35,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18544,2020-10-09 02:00:00,DAI,WETH,17617531.187083133979516214,49685.160854747399523139,17755179.64586886921087334053059544,195419792.184835609292972274,540784.09665263162555179,394117985.7876940014479317467273487
36,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18543,2020-10-08 02:00:00,DAI,WETH,17127209.455403542004321198,50067.471816617624169821,17243516.12077882412821507580105693,188909358.368706382611821464,542802.406196872921755739,380022345.74475771252659370186264
37,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18542,2020-10-07 02:00:00,DAI,WETH,15948211.199526090267353112,47535.193606502981785669,16063399.07566344376527168912224953,183384307.200606085177453407,542080.214279422251859692,369264085.6037900875473487248502187
38,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18541,2020-10-06 02:00:00,DAI,WETH,18407445.485042008198578132,53726.00793858549113258,18534665.12391931622433132738208875,183492400.352146452866737328,546255.801273661970354847,369566840.0750679537358920659307527
39,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18540,2020-10-05 02:00:00,DAI,WETH,10377311.924949121653597973,29765.282503085197976387,10452923.13553334927202910928369365,191033271.979061645488770895,545627.597578748869109676,384036437.1814352441127691340097899
40,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-18539,2020-10-04 02:00:00,DAI,WETH,12897768.71893082200951,37374.500256295615202947,12984301.66705916723136521958489777,186671749.184533615345246353,535097.05316774014142694,375681397.8272765180597855404106352
