,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1, reserveUSD ,
0,0xf52f433b79d21023af94251958bed3b64a2b7930-18576,2020/11/10 1:00,HKMT,USDT,6025.25241,770.917799,769.579586,388550721,49863028.69," 99,552,945.93 ",
1,0xf52f433b79d21023af94251958bed3b64a2b7930-18566,2020/10/31 1:00,HKMT,USDT,2172.052087,278.147477,277.4752076,388544695.7,49863799.61,99465231.43,
2,0xf52f433b79d21023af94251958bed3b64a2b7930-18565,2020/10/30 1:00,HKMT,USDT,125000,15998.9985,15967.10657,388543126.4,49864000.17,99529205.51,
3,0xf52f433b79d21023af94251958bed3b64a2b7930-18564,2020/10/29 1:00,HKMT,USDT,2500,320.084696,319.4544259,388418126.4,49879999.17,99563563.64,
4,0xf52f433b79d21023af94251958bed3b64a2b7930-18563,2020/10/28 1:00,HKMT,USDT,298.06691,38.39289,38.33915038,388415626.4,49880319.26,99621000.72,
5,0xf52f433b79d21023af94251958bed3b64a2b7930-18557,2020/10/22 2:00,HKMT,USDT,201.853772,26,25.93521134,388415924.5,49880280.86,99511971.24,
6,0xf52f433b79d21023af94251958bed3b64a2b7930-18556,2020/10/21 2:00,HKMT,USDT,38410.51905,4947.016447,4947.839015,388416126.3,49880254.86,99777097.46,
7,0xf52f433b79d21023af94251958bed3b64a2b7930-18555,2020/10/20 2:00,HKMT,USDT,219600,28126.67979,28073.56309,388454536.8,49875307.85,99562238.58,
8,0xf52f433b79d21023af94251958bed3b64a2b7930-18553,2020/10/18 2:00,HKMT,USDT,677.439031,86.82242,86.63370377,388234936.8,49903434.53,99598963.91,
9,0xf52f433b79d21023af94251958bed3b64a2b7930-18552,2020/10/17 2:00,HKMT,USDT,77.563597,10,9.987985266,388234274.9,49903519.35,99687123.19,
10,0xf52f433b79d21023af94251958bed3b64a2b7930-18551,2020/10/16 2:00,HKMT,USDT,387.81768,49.70045,49.63368625,388234352.5,49903509.35,99672945.65,
11,0xf52f433b79d21023af94251958bed3b64a2b7930-18550,2020/10/15 2:00,HKMT,USDT,4631.222889,595.451269,593.5614009,388233964.7,49903559.05,99620200.87,
12,0xf52f433b79d21023af94251958bed3b64a2b7930-18549,2020/10/14 2:00,HKMT,USDT,592.119053,76.339678,76.15756288,388234352.5,49903507.41,99460870.35,
13,0xf52f433b79d21023af94251958bed3b64a2b7930-18548,2020/10/13 2:00,HKMT,USDT,14.638199,1.887245,1.881495618,388234944.6,49903431.07,99502806.35,
14,0xf52f433b79d21023af94251958bed3b64a2b7930-18546,2020/10/11 2:00,HKMT,USDT,1155.147957,148.036843,147.7030519,388234959.2,49903429.19,99581815.47,
15,0xf52f433b79d21023af94251958bed3b64a2b7930-18545,2020/10/10 2:00,HKMT,USDT,2902.267212,373.060531,371.5294097,388233804.1,49903577.22,99407142.26,
16,0xf52f433b79d21023af94251958bed3b64a2b7930-18544,2020/10/9 2:00,HKMT,USDT,1721.314322,221.486314,220.703247,388233804.1,49903576.1,99526311.7,
17,0xf52f433b79d21023af94251958bed3b64a2b7930-18543,2020/10/8 2:00,HKMT,USDT,639.98647,82.016959,81.77786401,388234393.1,49903499.73,99516043.13,
18,0xf52f433b79d21023af94251958bed3b64a2b7930-18542,2020/10/7 2:00,HKMT,USDT,787847.6468,101170.2741,100820.4822,388233753.1,49903581.75,99416119.71,
19,0xf52f433b79d21023af94251958bed3b64a2b7930-18541,2020/10/6 2:00,HKMT,USDT,529.891302,68.592175,68.27159917,387453343.2,50003793.08,99809791.1,
20,0xf52f433b79d21023af94251958bed3b64a2b7930-18540,2020/10/5 2:00,HKMT,USDT,40.687631,5.266833,5.241797534,387454164.6,50003762.12,99532146.54,
21,0xf52f433b79d21023af94251958bed3b64a2b7930-18539,2020/10/4 2:00,HKMT,USDT,180.576616,23.374827,23.30737878,387454205.3,50003756.85,99720849.23,
22,0xf52f433b79d21023af94251958bed3b64a2b7930-18538,2020/10/3 2:00,HKMT,USDT,373.595174,48.070505,47.87036999,387454205.3,50003710.17,99591053.04,
23,0xf52f433b79d21023af94251958bed3b64a2b7930-18537,2020/10/2 2:00,HKMT,USDT,373.595174,48.360231,48.23564989,387453831.7,50003758.24,99749886.47,
24,0xf52f433b79d21023af94251958bed3b64a2b7930-18535,2020/9/30 2:00,HKMT,USDT,5.495782,0.709272,0.708353097,387454205.3,50003709.88,99887578.69,
25,0xf52f433b79d21023af94251958bed3b64a2b7930-18533,2020/9/28 2:00,HKMT,USDT,1238.222738,159.32252,158.9028331,387454205.3,50003709.88,99743980.52,
26,0xf52f433b79d21023af94251958bed3b64a2b7930-18532,2020/9/27 2:00,HKMT,USDT,87.994622,11.322335,11.28923777,387452967.1,50003869.2,99715397.74,
27,0xf52f433b79d21023af94251958bed3b64a2b7930-18531,2020/9/26 2:00,HKMT,USDT,113.487042,14.690474,14.645054,387452879.1,50003880.52,99708715.63,
28,0xf52f433b79d21023af94251958bed3b64a2b7930-18530,2020/9/25 2:00,HKMT,USDT,1588.355808,204.375718,203.6084078,387452967.1,50003862.54,99632255.09,
29,0xf52f433b79d21023af94251958bed3b64a2b7930-18528,2020/9/23 2:00,HKMT,USDT,1342.39309,172.728693,172.2750341,387451378.7,50004066.92,99849920.16,
30,0xf52f433b79d21023af94251958bed3b64a2b7930-18527,2020/9/22 2:00,HKMT,USDT,27972.77481,3600.821482,3590.254469,387450036.3,50004239.65,99710832.92,
31,0xf52f433b79d21023af94251958bed3b64a2b7930-18525,2020/9/20 2:00,HKMT,USDT,5839.561396,751.499241,747.965922,387425240.3,50007429.2,99533231.68,
32,0xf52f433b79d21023af94251958bed3b64a2b7930-18524,2020/9/19 2:00,HKMT,USDT,5800.975742,746.556008,743.2779995,387423247.3,50008677.21,99746215.42,
33,0xf52f433b79d21023af94251958bed3b64a2b7930-18523,2020/9/18 2:00,HKMT,USDT,17657.14702,2274.287274,2261.533078,387417446.3,50009423.77,99415943.34,
34,0xf52f433b79d21023af94251958bed3b64a2b7930-18522,2020/9/17 2:00,HKMT,USDT,27006.86706,3490.518515,3476.175371,387405039.3,50011167.24,99628149,
35,0xf52f433b79d21023af94251958bed3b64a2b7930-18521,2020/9/16 2:00,HKMT,USDT,117550.855,15180.98155,15154.26983,387429976.4,50011599.4,99730232.1,
36,0xf52f433b79d21023af94251958bed3b64a2b7930-18520,2020/9/15 2:00,HKMT,USDT,12280.85892,1588.066017,1581.1126,387429994.2,50007921.7,99690695.98,
37,0xf52f433b79d21023af94251958bed3b64a2b7930-18519,2020/9/14 2:00,HKMT,USDT,12133.56872,1562.622806,1556.965871,387429975.7,50005964.64,99426377.64,
38,0xf52f433b79d21023af94251958bed3b64a2b7930-18518,2020/9/13 2:00,HKMT,USDT,1434.198095,184.792379,184.4321907,387420075.7,50007013.29,99816474.1,
39,0xf52f433b79d21023af94251958bed3b64a2b7930-18517,2020/9/12 2:00,HKMT,USDT,15925.99686,2050.345389,2030.866963,387419222.1,50007122.91,99196967.16,
40,0xf52f433b79d21023af94251958bed3b64a2b7930-18516,2020/9/11 2:00,HKMT,USDT,387.87838,49.919836,49.38976564,387405246.5,50008920.75,98955808.91,
41,0xf52f433b79d21023af94251958bed3b64a2b7930-18515,2020/9/10 2:00,HKMT,USDT,59424.48877,7686.542757,7610.643082,387404858.6,50008970.67,98494106.82,
42,0xf52f433b79d21023af94251958bed3b64a2b7930-18514,2020/9/9 2:00,HKMT,USDT,2500,323.615736,322.3519852,387447260,50003474.73,99616412.62,
43,0xf52f433b79d21023af94251958bed3b64a2b7930-18513,2020/9/8 2:00,HKMT,USDT,1259.639486,162.581319,161.6397451,387449760,50003151.11,99227838.83,
44,0xf52f433b79d21023af94251958bed3b64a2b7930-18512,2020/9/7 2:00,HKMT,USDT,1569.337329,203.142723,201.3591333,387449798.5,50003145.66,99128237.73,
45,0xf52f433b79d21023af94251958bed3b64a2b7930-18511,2020/9/6 2:00,HKMT,USDT,690.888595,89.004201,88.56884554,232479940.8,30002942.51,59776351.13,
46,0xf52f433b79d21023af94251958bed3b64a2b7930-18510,2020/9/5 2:00,HKMT,USDT,7698.80746,990.995574,987.6180367,232479528.9,30002995.4,59813867.41,
47,0xf52f433b79d21023af94251958bed3b64a2b7930-18509,2020/9/4 2:00,HKMT,USDT,11266.15077,1449.93671,1445.504865,232472765.1,30003865.36,59746883.07,
48,0xf52f433b79d21023af94251958bed3b64a2b7930-18508,2020/9/3 2:00,HKMT,USDT,12136.20149,1570.298902,1565.622809,232461962.9,30005255.24,59806357.03,
49,0xf52f433b79d21023af94251958bed3b64a2b7930-18507,2020/9/2 2:00,HKMT,USDT,39685.97867,5109.376059,5093.308483,232471962.9,30003959.82,59988836.43,
50,0xf52f433b79d21023af94251958bed3b64a2b7930-18506,2020/9/1 2:00,HKMT,USDT,841180.0346,108718.1397,108399.4021,232437365.6,30008410.41,59625958.27,
,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD,
0,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18579,2020/11/13 1:00,WETH,USDT,53445.21687,24927112.25,24888768.52,566123.3001,266752842.3," 533,245,219.80 ",
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18578,2020/11/12 1:00,WETH,USDT,107744.6739,49606511.79,49506669.99,534812.547,247443375.4,494254792.3,
2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18577,2020/11/11 1:00,WETH,USDT,109210.7811,50556735.83,50476998.38,566910.2542,263317165.2,525839098.7,
3,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18576,2020/11/10 1:00,WETH,USDT,63613.36198,28483377.58,28445570.12,574431.2033,258940279.7,517311029,
4,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18575,2020/11/9 1:00,WETH,USDT,102448.891,45906278.37,45816903.3,573896.8194,254831490.8,508877842.8,
5,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18574,2020/11/8 1:00,WETH,USDT,68965.24781,30776229.95,30717814.78,556119.7748,253131152.6,505718853.5,
6,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18573,2020/11/7 1:00,WETH,USDT,217896.4084,97375386.89,97196728.39,566456.7242,247202897.1,493599462.6,
7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18572,2020/11/6 1:00,WETH,USDT,163773.6951,71371329.31,71210744.97,584867.1499,266216056,532265495.4,
8,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18571,2020/11/5 1:00,WETH,USDT,125656.7817,51242447.9,51135718.96,627604.1525,260552893,520552696.2,
9,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18570,2020/11/4 1:00,WETH,USDT,128799.8634,50435914.73,50346663,655311.1179,263077541,525340783.4,
10,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18569,2020/11/3 1:00,WETH,USDT,79466.96273,30173016.25,30107264.89,631537.0934,245177334.7,489059477.2,
11,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18568,2020/11/2 1:00,WETH,USDT,88261.15271,34491747.7,34427950.26,653355.362,250626545.1,499855945.1,
12,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18567,2020/11/1 1:00,WETH,USDT,47453.91107,18503724.43,18451086.98,677673.4085,268067817.5,534571223.2,
13,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18566,2020/10/31 1:00,WETH,USDT,65383.99338,25310033.94,25255947.78,672548.0596,259955802.4,519063895.9,
14,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18565,2020/10/30 1:00,WETH,USDT,100180.5586,38197971.33,38134970.35,675999.3187,259495284.7,517932987.5,
15,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18564,2020/10/29 1:00,WETH,USDT,88199.97766,40868756.88,37498389.91,673417.4394,259726462.6,518734406.6,
16,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18563,2020/10/28 1:00,WETH,USDT,108109.8954,42303419.07,42226894.77,676527.9743,262454477,524109255.7,
17,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18562,2020/10/27 1:00,WETH,USDT,78375.23854,31378183.8,31335999,660416.2034,266815213.5,532753475.2,
18,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18561,2020/10/26 1:00,WETH,USDT,146466.6401,1998061087,1027623085,644724.6822,253516437.5,506827886,
19,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18560,2020/10/25 2:00,WETH,USDT,55387.84599,22657746.5,22644683.76,608015.8674,246787440.8,493002367.5,
