,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18579,2020-11-13 01:00:00,PICKLE,WETH,27776.590416154706995035,1184.515795674668352165,553942.200630601039825111992905954,413395.768875542355127485,17662.561874502605742681,16636790.30304916751851809155513962
1,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18578,2020-11-12 01:00:00,PICKLE,WETH,26728.212471940519174359,1179.418726076720996786,542173.5543532947117721773427441979,458858.796953323039595498,19764.132685498216549626,18261939.28963135856979280617892484
2,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18577,2020-11-11 01:00:00,PICKLE,WETH,50448.577107631934883911,2280.432720702206879866,1058424.801854095133744445524265889,454293.379258090513559748,20620.963065068462255342,19127028.57851072047975704342473502
3,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18576,2020-11-10 01:00:00,PICKLE,WETH,151354.979169760461888756,6739.814876906638898352,3014819.519211882387165915149981871,457184.543434644218667001,20710.534215852172218081,18658116.65168870342243294754314311
4,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18575,2020-11-09 01:00:00,PICKLE,WETH,26606.39845590763376743,1408.637176455956617724,630228.7486882374709370698330388283,474187.84304490224332454,24192.827179240782626584,21450717.19373006138759505924512362
5,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18574,2020-11-08 01:00:00,PICKLE,WETH,42336.795853798071391287,2303.497570054294718044,1031721.647430193060853069019142833,464927.25689085503222029,25337.907166558127566807,23038595.16725694092229221220771174
6,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18573,2020-11-07 01:00:00,PICKLE,WETH,26459.465228381556263356,1440.756815807827062091,655201.2647779320343088107808240994,465029.029310042952606381,25091.115902147587000079,21879757.31672076714520219559310787
7,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18572,2020-11-06 01:00:00,PICKLE,WETH,74217.104839075186873458,4343.809506374911516972,1895521.834917568333936303139343638,463539.521307640713339089,25453.092572301618333637,23162540.64989268575341051259063362
8,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18571,2020-11-05 01:00:00,PICKLE,WETH,90609.843565397352418437,5988.552399881255517409,2420348.389315954097585005133595957,442410.624160648451527791,28426.078440636189864874,23577505.11875014971088343465562646
9,0xdc98556ce24f007a5ef6dc1ce96322d65832a819-18570,2020-11-04 01:00:00,PICKLE,WETH,48016.449747195902673181,3017.768046818515377281,1168886.742746224820767135864591978,436673.446808954623462728,27530.747898652314556046,22063278.30193892087680502158295716
