,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
16,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18563,2020-10-28 01:00:00,WETH,USDT,108109.895403081541604497,42303419.067117,42226894.76659915896460758368218573,676527.974345851179460003,262454476.977952,524109255.7178544741836248720005133
17,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18562,2020-10-27 01:00:00,WETH,USDT,78375.238536900235134851,31378183.800112,31335998.99860885495335376947854482,660416.203428007467339712,266815213.490297,532753475.2056827382520189559511426
18,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18561,2020-10-26 01:00:00,WETH,USDT,146466.640141952627245513,1998061086.834598,1027623084.79581856319203926736652,644724.682231720055312608,253516437.546077,506827886.0341431246743022151554515
19,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18560,2020-10-25 02:00:00,WETH,USDT,55387.845987396734869618,22657746.495502,22644683.7605617293441699233427636,608015.867379632235831682,246787440.761286,493002367.497486370129167380430576
20,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18559,2020-10-24 02:00:00,WETH,USDT,38308.172148700180629134,15781457.554528,15755491.49937710885942072217430038,605145.813311138203048513,249116865.52855,496933879.6894342832346954133080327
21,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18558,2020-10-23 02:00:00,WETH,USDT,76655.143531567060286185,31473309.01547,31432638.88875964033017045884611449,610397.201363250833502165,249534828.981584,497986932.1729617757348407016881773
22,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18557,2020-10-22 02:00:00,WETH,USDT,114212.840545947702220513,46486374.397364,46394858.46630104240396889674020001,610213.978533804417804934,252672128.633118,504740641.2362432109098196177308821
23,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18556,2020-10-21 02:00:00,WETH,USDT,133253.729506388809977201,51722585.530056,51610863.85578030275496764569597829,687990.10904220926923307,269632360.749382,538731846.0108817565581480288538879
24,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18555,2020-10-20 02:00:00,WETH,USDT,62973.07850081770789087,23450767.71428,23415605.86287106527550138721786315,720809.440238929889616436,265299331.563427,530235623.2118071291666399271134985
25,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18554,2020-10-19 02:00:00,WETH,USDT,54484.077519700605144372,20606778.033661,20557797.42146455189458121238382024,701252.401130808408163247,265765515.598014,530445320.1780958065101173052924745
26,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18553,2020-10-18 02:00:00,WETH,USDT,53052.659263428366650432,19836500.022682,19772846.70131557724890773667513948,694939.420799518588631949,262087088.686404,523037018.2861049765331549195212236
27,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18552,2020-10-17 02:00:00,WETH,USDT,34180.150257645702416051,12548630.466476,12520613.49663450022051949552451701,698532.14686006093608095,256685244.109649,512198886.202115377736925993225365
28,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18551,2020-10-16 02:00:00,WETH,USDT,87529.70559944407852438,32227002.51269,32196202.18636014850776964921418027,702336.696784585561674903,256697766.621238,512801918.4407636923196133545150043
29,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18550,2020-10-15 02:00:00,WETH,USDT,70043.994454770479264163,26344807.828648,26298476.56986905510110643768305597,705926.576775837854453703,266943540.726284,532634647.2173571420473253234131809
30,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18549,2020-10-14 02:00:00,WETH,USDT,68368.832400643935993741,25979830.928716,25931250.73117634179561104691568179,731822.295312914841297272,276556187.816664,552085960.4269648781968985242131544
31,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18548,2020-10-13 02:00:00,WETH,USDT,78303.988098620216180762,29895123.269556,29836687.11813256760551776431179269,727084.039176681296243602,277573852.893142,553607295.4579530440150151416797423
32,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18547,2020-10-12 02:00:00,WETH,USDT,102239.221352998631233973,38837835.455396,38758256.17281024286509929186843954,729913.434757566690867407,282603685.946508,564375449.7762662951626927189577945
33,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18546,2020-10-11 02:00:00,WETH,USDT,60006.503941325409830942,22401047.20524,22345990.27447846522949581995987504,761548.48305927548877907,284413192.699074,567644293.3348137047557634690681038
34,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18545,2020-10-10 02:00:00,WETH,USDT,94442.381235125921650839,35268568.455484,35185366.59251961493778343883837656,665527.060463351916691297,247135151.522596,493149617.9012777103210167552609793
35,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18544,2020-10-09 02:00:00,WETH,USDT,92892.456360264843193004,33179210.377125,33082577.93118798456234760158343108,645759.942871875087964916,235807350.746692,470603916.5763372247852160859265421
36,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18543,2020-10-08 02:00:00,WETH,USDT,149168.988587204232264913,51264397.691427,51172323.69288994366338663092320585,654471.431096456896730473,229665114.019288,458262338.6611169902714912587505274
37,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18542,2020-10-07 02:00:00,WETH,USDT,149024.171443374624102144,50484812.928039,50346433.77255177502288673249898344,656359.03833621721264229,224716050.679245,447110646.440221532777725843795437
38,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18541,2020-10-06 02:00:00,WETH,USDT,142603.705806452091427425,49344323.932212,49214300.25617676771500445079237403,665788.505500594258122398,225996282.996422,450436379.6444920072727844530442513
39,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18540,2020-10-05 02:00:00,WETH,USDT,82205.107498738517286184,28969947.322651,28870887.55182188791293830958903836,662091.907611874404048761,233554155.604674,465974937.3328351091559023295492347
40,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18539,2020-10-04 02:00:00,WETH,USDT,101341.418276499613579855,35262461.768506,35171693.22334800706173979125237882,628911.133096163152720505,221382351.660486,441547267.6526430054796794264858976
41,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18538,2020-10-03 02:00:00,WETH,USDT,86749.429213516033998322,30135486.055702,30054809.34704340944280410553957182,633658.6412700929824321,219949656.900005,439097737.4335841570199778115926158
42,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18537,2020-10-02 02:00:00,WETH,USDT,197548.207746527794172221,67909706.065045,67725381.14439440653114440593382282,670933.353333182500145676,231708887.561031,461995991.7349840890940327479675452
43,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18536,2020-10-01 02:00:00,WETH,USDT,163296.275610886830078344,58232298.929273,58063308.70057908337808282873894154,677066.278544350459608343,238528886.436773,475311399.6399438869955735475635385
44,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18535,2020-09-30 02:00:00,WETH,USDT,96787.607641322446853391,34458452.784085,34358688.93913365263370298718452437,662698.13311181084469075,238432356.008973,475439395.8008205511429066575419139
45,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18534,2020-09-29 02:00:00,WETH,USDT,122566.952010918404116164,43456671.898972,43316664.34027733317581284864528521,628623.8137073790135816,226392566.188982,450282141.2476001555191083961369937
46,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18533,2020-09-28 02:00:00,WETH,USDT,111126.347921347366357606,40075648.833023,39941964.19430444784330660043566729,629750.33498434024570633,223343360.175882,444702549.6788873633445613473801331
47,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18532,2020-09-27 02:00:00,WETH,USDT,101006.908110446508793902,35890423.844236,35771533.39619719968747979399374091,556780.919050309406866856,198261290.004499,395219179.1085583717213578455073251
48,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18531,2020-09-26 02:00:00,WETH,USDT,116939.002468767270029853,41254648.139309,41103469.7881316113250353700657564,558201.932460750559685062,198208538.140601,394228040.407023356058459949931128
49,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18530,2020-09-25 02:00:00,WETH,USDT,120619.945093167324088863,41895871.46566,41779803.81770288526273265126439673,573926.357386831005888991,202460958.534231,403442008.3527849843322095670392503
