,date,dailyVolumeInETH,dailyVolumeInUSD,totalVolumeInEth,totalVolumeUSD,totalLiquidityInEth,totalLiquidityUSD
0,2020-11-13 01:00:00,364.867706417754502474,159501.0707705144840863372308737846,9111780.133729953615455552,1925703255.342220813984042851781984,10785.052621501457767508,4757695.235163143423604493589960191
1,2020-11-12 01:00:00,407.419111252387448767,176408.7986111651543162067913111712,9111415.266023535860953078,1925543754.271450299499956514551109,10773.535515496815141906,4663913.223257608100021450598306465
2,2020-11-11 01:00:00,344.838409014108410263,150317.6903827557773125830069935194,9111007.846912283473504311,1925367345.472839134345640307759786,10803.406955645588677548,4723670.713537766656621976165903213
3,2020-11-10 01:00:00,501.652874706911989384,213330.2277976228694936869064360178,9110663.008503269365094048,1925217027.782456378568327724752795,10881.537040549560864208,4650030.066120489306603996817663721
4,2020-11-09 01:00:00,495.248495219084096262,210809.0631015850933121506296787642,9110161.355628562453104664,1925003697.554658755698834037846355,10861.011571114795530418,4582868.985908186322448956349445382
5,2020-11-08 01:00:00,328.014558883401969595,139539.689388977797185550255508112,9109666.107133343369008402,1924792888.491557170605521887216676,10870.344402271523258026,4675912.350240672406894923025999773
6,2020-11-07 01:00:00,561.853663285132823923,239610.9929694224811097606016465002,9109338.092574459967038807,1924653348.802168192808336336961164,10932.484309568547842102,4560807.01845180524028155608057231
7,2020-11-06 01:00:00,698.201261332956337403,291963.0052528348769372335369690079,9108776.238911174834214884,1924413737.809198770327226576359515,10907.82674330097730277,4621510.531504331535717162492571878
8,2020-11-05 01:00:00,629.930836792781375949,251507.4869822797630207237522506633,9108078.037649841877877481,1924121774.803945935450289342822542,11052.604986435466725388,4449565.42427775033938115007118016
9,2020-11-04 01:00:00,626.519108009202505184,243456.3990366367274188159367632482,9107448.106813049096501532,1923870267.316963655687268619070283,11236.561368673710217548,4462638.33450267806672381040242982
10,2020-11-03 01:00:00,521.721588448135509086,198683.7416994660008103762933438114,9106821.587705039893996348,1923626810.917927018959849803133515,11426.965989615200605628,4303072.859032122406293256607283119
11,2020-11-02 01:00:00,702.996716151495122719,272054.880628135393345135799519216,9106299.866116591758487262,1923428127.176227552959039426840183,11462.75669009060446719,4510606.055008544742286958345971979
12,2020-11-01 01:00:00,447.207747364036367857,173169.6990757426311336843904176925,9105596.869400440263364543,1923156072.295599417565694291040663,11355.875130326336757492,4446651.157601892676240360793630989
13,2020-10-31 01:00:00,509.253498440218672452,196209.3900264713528686196606115622,9105149.661653076226996686,1922982902.596523674934560606650252,11481.855523810511318176,4428604.004064087064270227168003851
14,2020-10-30 01:00:00,831.800103468573791115,318006.702235844843691273303711652,9104640.408154636008324234,1922786693.20649720358169198698964,11519.241938802779322564,4412297.898109199521397140183730588
15,2020-10-29 01:00:00,785.936561513006051902,303742.9834807048011660833382682254,9103808.608051167434533119,1922468686.504261358738000713685929,11502.781325348476221818,4432622.028954790404507313677215301
16,2020-10-28 01:00:00,780.403106636054945929,302924.6347776374084362997806847996,9103022.671489654428481217,1922164943.520780653936834630347667,11591.797926023813495126,4460761.023481168618673040815595562
17,2020-10-27 01:00:00,521.28013954264668037,205624.7766465126888620093963320741,9102242.268383018373535288,1921862018.886003016528398330566961,11629.289363420740036198,4623432.964158858181869486331590673
18,2020-10-26 01:00:00,709.186934065725823881,279362.4074963963138917127675321308,9101720.988243475726854918,1921656394.10935650383953632117061,12013.89540396789704504,4691895.304672378576648678643652346
19,2020-10-25 02:00:00,382.619390253388702438,153271.9883680059272628033348528896,9101011.801309410001031037,1921377031.701860107525644608403081,11876.7545151687239629,4737145.78051318219397826431647538
20,2020-10-24 02:00:00,298.669078739415871495,120292.3507349508985884047255337775,9100629.181919156612328599,1921223759.713492101598381805068235,11977.122204547455708258,4834247.961415868518953679567474336
21,2020-10-23 02:00:00,491.969317881210250882,197944.8877246660305822993413495334,9100330.512840417196457104,1921103467.362757150699793400342703,11998.355328503107315342,4798771.580309704669486685831415801
22,2020-10-22 02:00:00,530.959368858856471927,203469.0564065194407023227783822897,9099838.543522535986206222,1920905522.475032484669211101001365,11988.698373069537310608,4363318.503116358149399296248954227
23,2020-10-21 02:00:00,674.586358956445473124,248361.5163353035003901589219326777,9099307.584153677129734295,1920702053.41862596522850877822299,12167.6194180738958801,4547592.675030429613802459622103587
24,2020-10-20 02:00:00,774.190290873304538742,279134.9404688807176754351085339899,9098632.997794720684261171,1920453691.902290661728118619301049,12381.524725641745528378,4428661.497072302104505858234922997
25,2020-10-19 02:00:00,811.025543009560123315,295032.1963608921876501393603495985,9097858.807503847379722429,1920174556.961821781010443184192514,12450.906224675149476916,4535451.085296628991242792639795544
26,2020-10-18 02:00:00,496.812792479423799123,178967.9518385838474638417700569851,9097047.781960837819599114,1919879524.765460888822793044832158,12546.617547051455499362,4556642.080085654953684880144757466
